YY|一起看,#genre#
 【神雕侠侣】金庸经典,http://127.0.0.1:35456/yy/1382704651
 高分科幻动作片,http://127.0.0.1:35456/yy/1382749948
 法证先锋Ⅲ,http://127.0.0.1:35456/yy/1382736802
 国内喜剧,http://127.0.0.1:35456/yy/1382735563
 情满四合院,http://127.0.0.1:35456/yy/1382736888
 绝版鬼片港片贼好看,http://127.0.0.1:35456/yy/1454732419
 科幻片：来看神奇的地球,http://127.0.0.1:35456/yy/1354930897
 【港片】赌片 动作,http://127.0.0.1:35456/yy/24921161
 情满四合院,http://127.0.0.1:35456/yy/1382851524
 距离你500米,http://127.0.0.1:35456/yy/37264974
 海王-院线大片,http://127.0.0.1:35456/yy/1354936142
 黄金瞳,http://127.0.0.1:35456/yy/1353215589
 狂飙,http://127.0.0.1:35456/yy/1355142167
 天龙八部,http://127.0.0.1:35456/yy/1351814644
 加勒比海盗系列,http://127.0.0.1:35456/yy/1382749914
 燕双鹰,http://127.0.0.1:35456/yy/1354143942
 薛仁贵传奇,http://127.0.0.1:35456/yy/1355260662
 水浒传,http://127.0.0.1:35456/yy/1353873252
 动作大片-热血开打,http://127.0.0.1:35456/yy/1354936168
 搞笑经典电影,http://127.0.0.1:35456/yy/1351537467
 8090年的热血与回忆,http://127.0.0.1:35456/yy/1356243352
 开心果 正在直播,http://127.0.0.1:35456/yy/1457622044
 疯狂动漫 正在直播,http://127.0.0.1:35456/yy/1353937086
 【特jing力量】,http://127.0.0.1:35456/yy/1508456184
 无敌燕双鹰,http://127.0.0.1:35456/yy/23026835
 Blingbling,http://127.0.0.1:35456/yy/1382851598
 少年包青天蓝光版,http://127.0.0.1:35456/yy/38498680
 破案港剧,http://127.0.0.1:35456/yy/1350670730
 少年包青天,http://127.0.0.1:35456/yy/1382651363
 周星驰喜剧武侠恐怖好看,http://127.0.0.1:35456/yy/29945997
 雪中悍刀行,http://127.0.0.1:35456/yy/1382660835
 超清古装剧 仙侠剧,http://127.0.0.1:35456/yy/1335509613
 燕双鹰,http://127.0.0.1:35456/yy/1352227153
 抗战！抗战！,http://127.0.0.1:35456/yy/1507704566
 经典抗战100部,http://127.0.0.1:35456/yy/1354508622
 西游记后传 蓝光,http://127.0.0.1:35456/yy/1353392400
 无敌燕双鹰,http://127.0.0.1:35456/yy/1354825244
 007系列动作大片,http://127.0.0.1:35456/yy/1382736897
 双月之城-国漫,http://127.0.0.1:35456/yy/1382736907
 新白娘子4K高清观看,http://127.0.0.1:35456/yy/1508902755
 少年歌行,http://127.0.0.1:35456/yy/1450556636
 24H盗幕笔记,http://127.0.0.1:35456/yy/1355171231
 热度榜1.包青天,http://127.0.0.1:35456/yy/22701868
 动漫,http://127.0.0.1:35456/yy/22777075
 【破案 悬疑 港剧】,http://127.0.0.1:35456/yy/1382800083
 《武林外传》武侠,http://127.0.0.1:35456/yy/1394000563
 24小时陪你看,http://127.0.0.1:35456/yy/1331686180
 天龙神雕经典回忆,http://127.0.0.1:35456/yy/68260522
 赌神 港片 喜剧,http://127.0.0.1:35456/yy/1355112116
 经典动漫,http://127.0.0.1:35456/yy/24180320
 8090.电影一哥,http://127.0.0.1:35456/yy/29197808
 动漫,http://127.0.0.1:35456/yy/1354143938
 【陪你看】金刚葫芦娃,http://127.0.0.1:35456/yy/1353323999
 《石敢当》六耳猕猴,http://127.0.0.1:35456/yy/1394156613
 狂飙,http://127.0.0.1:35456/yy/22089862
 【新三国】日版,http://127.0.0.1:35456/yy/1382851457
 【科幻】超炫特效,http://127.0.0.1:35456/yy/37988782
 的直播间,http://127.0.0.1:35456/yy/1354129442
 经典好剧,http://127.0.0.1:35456/yy/1354555195
 国漫 一起看正在直播,http://127.0.0.1:35456/yy/1351417866
 【案发现场】1-4部全集,http://127.0.0.1:35456/yy/33567888
 【新三国】,http://127.0.0.1:35456/yy/1382851415
 热血抗日电影,http://127.0.0.1:35456/yy/1382749907
 倚天屠龙记,http://127.0.0.1:35456/yy/1449856066
 24【动漫】正在直播,http://127.0.0.1:35456/yy/1350984033
 经典电影重温,http://127.0.0.1:35456/yy/1382793140
 活力满满,http://127.0.0.1:35456/yy/1382851585
 �逋鞠盗�-国产喜剧,http://127.0.0.1:35456/yy/1382736856
 【港台】鬼片 惊悚 喜剧,http://127.0.0.1:35456/yy/1351030377
 我的兄弟叫顺溜,http://127.0.0.1:35456/yy/1459331991
 武林外传,http://127.0.0.1:35456/yy/1454629602
 人生必看的科幻片,http://127.0.0.1:35456/yy/1382745114
 发哥系列,http://127.0.0.1:35456/yy/1354888733
 破案剧,http://127.0.0.1:35456/yy/1356158015
 超精彩武打场景,http://127.0.0.1:35456/yy/1354936131
 爆笑小品大合集,http://127.0.0.1:35456/yy/1382736821
 小敏,http://127.0.0.1:35456/yy/1382736890
 鸡毛飞上天,http://127.0.0.1:35456/yy/1461033197
 国内喜剧,http://127.0.0.1:35456/yy/1382736862
 杭小妞,http://127.0.0.1:35456/yy/1382851590
 大家都在看的电视剧,http://127.0.0.1:35456/yy/1354930964
 速度与激情系列！-精彩大片,http://127.0.0.1:35456/yy/1382736911
 都挺好-电视剧,http://127.0.0.1:35456/yy/1382736892
 初恋脸,http://127.0.0.1:35456/yy/1382851597
 西游记后传,http://127.0.0.1:35456/yy/1382736846
 神探狄仁杰1,http://127.0.0.1:35456/yy/1382851575
 天道-9.2高分好剧,http://127.0.0.1:35456/yy/1382735574
 成龙系列,http://127.0.0.1:35456/yy/1354888751
 新白娘子传奇-女神赵雅芝,http://127.0.0.1:35456/yy/1354930969
 法证先锋,http://127.0.0.1:35456/yy/1354930939
 小欢喜,http://127.0.0.1:35456/yy/1382737888
 爱笑仙子,http://127.0.0.1:35456/yy/1382736838
 福贵,http://127.0.0.1:35456/yy/1354926537
 情满四合院-高分电视剧,http://127.0.0.1:35456/yy/1382735541
 笑声传奇,http://127.0.0.1:35456/yy/1382736880
 超燃警匪片,http://127.0.0.1:35456/yy/1382735576
 二号交通站,http://127.0.0.1:35456/yy/1382735582
 欢乐颂,http://127.0.0.1:35456/yy/1382735624
 红楼梦1987经典版,http://127.0.0.1:35456/yy/1382745084
 中国味道 第4季-美食纪录片,http://127.0.0.1:35456/yy/1382736845
 国内高分悬疑剧-风筝,http://127.0.0.1:35456/yy/1354931585
 父母爱情,http://127.0.0.1:35456/yy/1382746276
 康熙王朝,http://127.0.0.1:35456/yy/1382736818
 暖暖1999,http://127.0.0.1:35456/yy/1382851591
 易中天品三国,http://127.0.0.1:35456/yy/1354931498
 尽享国内精彩战争片,http://127.0.0.1:35456/yy/1382745094
 炊事班的故事II,http://127.0.0.1:35456/yy/1382736885
 宝莲灯前传,http://127.0.0.1:35456/yy/1354931631
 仙剑奇侠传-神仙姐姐驾到,http://127.0.0.1:35456/yy/1382749903
 小沈阳春晚小品,http://127.0.0.1:35456/yy/1382749941
 灌篮高手,http://127.0.0.1:35456/yy/1382735626
 侏罗纪世界-国外科幻大片合集,http://127.0.0.1:35456/yy/1382736851
 黑衣人1、2—动作喜剧大片,http://127.0.0.1:35456/yy/1354930936
 情满四合院,http://127.0.0.1:35456/yy/1382736848
 熊出没之探险日记S1-国漫,http://127.0.0.1:35456/yy/1354930977
 一笑倾城,http://127.0.0.1:35456/yy/1382735553
 新世界,http://127.0.0.1:35456/yy/1382736850
 时光的海,http://127.0.0.1:35456/yy/1382851579
 法证先锋Ⅱ,http://127.0.0.1:35456/yy/1354888736
 叶问全集,http://127.0.0.1:35456/yy/1382828771
 我的前半生,http://127.0.0.1:35456/yy/1382735564
 纪晓岚,http://127.0.0.1:35456/yy/1382781415
 今夜欢乐颂,http://127.0.0.1:35456/yy/1382735572
 金婚,http://127.0.0.1:35456/yy/1382828768
 香港院线大片-最新,http://127.0.0.1:35456/yy/1354936242
 24h小时打更人,http://127.0.0.1:35456/yy/1355171357
 笑傲帮,http://127.0.0.1:35456/yy/1382735555
 永远的经典系列,http://127.0.0.1:35456/yy/1354930204
 颜值永远在线,http://127.0.0.1:35456/yy/1382851582
 迷糊不迷糊 正在直播,http://127.0.0.1:35456/yy/1461931969
 岳云鹏宋小宝也来演电影了？,http://127.0.0.1:35456/yy/1354926612
 渴望,http://127.0.0.1:35456/yy/1354930963
 国外动作大片-夺宝奇兵1-4,http://127.0.0.1:35456/yy/1382736833
 伪装者,http://127.0.0.1:35456/yy/1354936244
 温柔好声音 给你停靠港,http://127.0.0.1:35456/yy/1349538007
 巩汉林春晚小品合集,http://127.0.0.1:35456/yy/1354889035
 热血战争巨作,http://127.0.0.1:35456/yy/1382745087
 科幻电影,http://127.0.0.1:35456/yy/1354930209
 【成龙经典】动作,http://127.0.0.1:35456/yy/34460526
 电影,http://127.0.0.1:35456/yy/37454459
 丫头动漫 斗罗斗破,http://127.0.0.1:35456/yy/1458722520
 动漫,http://127.0.0.1:35456/yy/25055036
 复仇者联盟全季,http://127.0.0.1:35456/yy/1354936167
 公主嫁到,http://127.0.0.1:35456/yy/1382736915
 国外科幻大作合集,http://127.0.0.1:35456/yy/1382736836
 外国科幻大片,http://127.0.0.1:35456/yy/1382747628
 【动漫】精彩国漫,http://127.0.0.1:35456/yy/28796627
 宫心计,http://127.0.0.1:35456/yy/1382828769
 【僵尸道长】林正英,http://127.0.0.1:35456/yy/30668277
 斗罗小舞 正在直播,http://127.0.0.1:35456/yy/1354768831
 来看修牛蹄,http://127.0.0.1:35456/yy/1382749887
 燃爆动作片,http://127.0.0.1:35456/yy/1382736801
 进来 陪你看电视,http://127.0.0.1:35456/yy/1353518742
 小宝 天龙 神雕金庸,http://127.0.0.1:35456/yy/1356043609
 精彩动作电影,http://127.0.0.1:35456/yy/1382736823
 彭禺厶鬼怪奇幻系列电影,http://127.0.0.1:35456/yy/1355249116
 【飞哥全集】乐乐陪看,http://127.0.0.1:35456/yy/1352946111
 电影 古惑仔全集,http://127.0.0.1:35456/yy/1354507447
 布丁-玄幻电影正在直播,http://127.0.0.1:35456/yy/1455460998
 倚天屠龙记,http://127.0.0.1:35456/yy/33300793
 狂飙   老默想吃鱼了,http://127.0.0.1:35456/yy/1356051105
 玄幻道墓,http://127.0.0.1:35456/yy/1459714870
 寻秦记-穿越剧经典,http://127.0.0.1:35456/yy/1382749900
 《仙侠》开局无敌了,http://127.0.0.1:35456/yy/29600150
 花千骨,http://127.0.0.1:35456/yy/1354943110
 动漫奥斯卡正在直播,http://127.0.0.1:35456/yy/1382626335
 新主播，求照顾,http://127.0.0.1:35456/yy/1382690406
 战狼7吴京退役,http://127.0.0.1:35456/yy/1382773714
 父母爱情,http://127.0.0.1:35456/yy/1354926650
 精彩动漫,http://127.0.0.1:35456/yy/1420843376
 经典大片合集,http://127.0.0.1:35456/yy/1382749895
 林正英电影,http://127.0.0.1:35456/yy/1382841203
 港片电影,http://127.0.0.1:35456/yy/33897188
 一剑开天门,http://127.0.0.1:35456/yy/34313906
 战狼10086,http://127.0.0.1:35456/yy/1382773686
 动作 港片电影,http://127.0.0.1:35456/yy/1461037999
 24h 我爱我家 纯音频,http://127.0.0.1:35456/yy/1356212303
 奇缘港台影院,http://127.0.0.1:35456/yy/1354889234
 鬼经典老片,http://127.0.0.1:35456/yy/1463783198
 军旅剧（回忆经典）,http://127.0.0.1:35456/yy/1356306672
 动漫,http://127.0.0.1:35456/yy/23993334
 你最爱的宋小宝,http://127.0.0.1:35456/yy/1354936198
 变形金刚,http://127.0.0.1:35456/yy/1382736803
 郝蕾演绎-情满四合院,http://127.0.0.1:35456/yy/1382745089
 欢乐颂,http://127.0.0.1:35456/yy/1382851577
 野山鹰-影视剧,http://127.0.0.1:35456/yy/1354932395
 十大经典港剧之《大时代》,http://127.0.0.1:35456/yy/1354930891
 请回答1988,http://127.0.0.1:35456/yy/1354932362
 少年四大名捕,http://127.0.0.1:35456/yy/1354936203
 士兵突击,http://127.0.0.1:35456/yy/1382828766
 小惠_郭德纲相声迷,http://127.0.0.1:35456/yy/1382851593
 星爷经典-百看不厌,http://127.0.0.1:35456/yy/1382736808
 电视剧-流金岁月,http://127.0.0.1:35456/yy/1382749906
 田园生活,http://127.0.0.1:35456/yy/1382736898
 欢乐集结号,http://127.0.0.1:35456/yy/1382735550
 宫锁珠帘,http://127.0.0.1:35456/yy/1354926666
 亲爱的热爱的,http://127.0.0.1:35456/yy/1354932433
 【周星驰】搞笑电影,http://127.0.0.1:35456/yy/38670875
 哑巴竟然会说话,http://127.0.0.1:35456/yy/1354932427
 陈情令,http://127.0.0.1:35456/yy/1382745121
 读心神探,http://127.0.0.1:35456/yy/1382736875
 少年包青天美黑之旅,http://127.0.0.1:35456/yy/1354936141
 金星脱口秀-爆笑回归,http://127.0.0.1:35456/yy/1382749951
 动物世界,http://127.0.0.1:35456/yy/1382749889
 炊事班的故事,http://127.0.0.1:35456/yy/1382749901
 欢乐集结号3,http://127.0.0.1:35456/yy/1382736822
 另类民兵葛二蛋,http://127.0.0.1:35456/yy/1382736895
 超激烈的猎食场面,http://127.0.0.1:35456/yy/1382749898
 非诚勿扰,http://127.0.0.1:35456/yy/1382735583
 上海滩,http://127.0.0.1:35456/yy/1382745184
 小兵张嘎,http://127.0.0.1:35456/yy/1354930225
 平凡岁月,http://127.0.0.1:35456/yy/1382745117
 蔡明春晚小品,http://127.0.0.1:35456/yy/1354936177
 穿越时空的爱恋,http://127.0.0.1:35456/yy/1382735567
 风筝,http://127.0.0.1:35456/yy/1382828770
 欢乐集结号2,http://127.0.0.1:35456/yy/1354930919
 法证先锋2,http://127.0.0.1:35456/yy/1382736870
 第8号当铺,http://127.0.0.1:35456/yy/1382736905
 你是最美的风景,http://127.0.0.1:35456/yy/1382851599
 大江大河2-高分影视推荐,http://127.0.0.1:35456/yy/1382736797
 热血动作电影,http://127.0.0.1:35456/yy/1382736804
 施公奇案1-欧阳震华,http://127.0.0.1:35456/yy/1382749918
 密子君,http://127.0.0.1:35456/yy/1382736717
 金婚,http://127.0.0.1:35456/yy/1382736832
 探秘中华美食,http://127.0.0.1:35456/yy/1354930954
 精彩动作电影享不停,http://127.0.0.1:35456/yy/1382736809
 少年包青天第三部,http://127.0.0.1:35456/yy/1382851540
 萌萌爱追剧,http://127.0.0.1:35456/yy/1382745093
 深海利剑,http://127.0.0.1:35456/yy/1382736906
 编辑部的故事,http://127.0.0.1:35456/yy/1354936120
 空谷幽兰,http://127.0.0.1:35456/yy/1382745182
 舌尖上的中国第2季,http://127.0.0.1:35456/yy/1354930943
 本山快乐营1,http://127.0.0.1:35456/yy/1354936209
 流金岁月-经典港剧,http://127.0.0.1:35456/yy/1382736891
 大江大河-高分影视推荐,http://127.0.0.1:35456/yy/1382736806
 魔幻手机,http://127.0.0.1:35456/yy/1382851541
 我爱我家,http://127.0.0.1:35456/yy/1382735557
 银河护卫队-国外科幻巨作,http://127.0.0.1:35456/yy/1382736815
 三国演义【1994】,http://127.0.0.1:35456/yy/1354930932
 最美的青春,http://127.0.0.1:35456/yy/1382745116
 无敌县令,http://127.0.0.1:35456/yy/1354932390
 炊事班的故事1-2,http://127.0.0.1:35456/yy/1382736886
 黄大妮-电视剧,http://127.0.0.1:35456/yy/1354930904
 真心想让你幸福,http://127.0.0.1:35456/yy/1382736876
 传奇英雄,http://127.0.0.1:35456/yy/1382735578
 天龙八部,http://127.0.0.1:35456/yy/1355067965
 金玉满堂：精彩港剧,http://127.0.0.1:35456/yy/1382736881
 强悍“杀猪婆”的励志人生,http://127.0.0.1:35456/yy/1354658062
 转角遇到爱,http://127.0.0.1:35456/yy/1382745085
 开心小泡芙,http://127.0.0.1:35456/yy/1382851578
 妖神记,http://127.0.0.1:35456/yy/1382745171
 北京爱情故事，心动不打烊,http://127.0.0.1:35456/yy/1382744423
 粟裕大将-影视,http://127.0.0.1:35456/yy/1354926542
 了不起的萝莉小玲,http://127.0.0.1:35456/yy/1382736799
 大汉贤后卫子夫,http://127.0.0.1:35456/yy/1382735569
 原始人大挑战,http://127.0.0.1:35456/yy/1382736884
 农家小菜,http://127.0.0.1:35456/yy/1382736894
 大明王朝,http://127.0.0.1:35456/yy/1382736879
 以家人之名,http://127.0.0.1:35456/yy/1382736908
 来自星星的你,http://127.0.0.1:35456/yy/1354930976
 TVB收视爆剧-溏心风暴,http://127.0.0.1:35456/yy/1382736916
 百家讲坛――之明太祖朱元璋,http://127.0.0.1:35456/yy/1354936149
 这个杀手不太冷-国外经典动作片,http://127.0.0.1:35456/yy/1354936122
 珍珠港-电影,http://127.0.0.1:35456/yy/1354936234
 美国队长史蒂夫,http://127.0.0.1:35456/yy/1382736813
 叛逆者,http://127.0.0.1:35456/yy/1382736868
 宫心计,http://127.0.0.1:35456/yy/1354932429
 舌尖上的中国第一季,http://127.0.0.1:35456/yy/1354930952
 国产大片电影,http://127.0.0.1:35456/yy/1354926655
 侏罗纪公园三部曲,http://127.0.0.1:35456/yy/1354936191
 今晚80后脱口秀,http://127.0.0.1:35456/yy/1382745098
 风靡全球的谍战片,http://127.0.0.1:35456/yy/1382736817
 非诚勿扰,http://127.0.0.1:35456/yy/1382745100
 迷,http://127.0.0.1:35456/yy/1382736719
 超英集结,http://127.0.0.1:35456/yy/1382745091
 动作大片-叶问宗师觉醒,http://127.0.0.1:35456/yy/1354936181
 忠烈杨家将,http://127.0.0.1:35456/yy/1382749909
 我的父亲我的兵,http://127.0.0.1:35456/yy/1353413714
 谈判专家,http://127.0.0.1:35456/yy/1382735560
 国外院线动作大片,http://127.0.0.1:35456/yy/1382735570
 小鬼当家-童年回忆,http://127.0.0.1:35456/yy/1382745104
 【科幻电影】,http://127.0.0.1:35456/yy/1355065896
 小生物的故事,http://127.0.0.1:35456/yy/1382736834
 河山,http://127.0.0.1:35456/yy/1382749952
 本山快乐营,http://127.0.0.1:35456/yy/1354933529
 飞虎之潜行极战,http://127.0.0.1:35456/yy/1354932420
 非诚勿扰,http://127.0.0.1:35456/yy/1382745106
 苦乐村官,http://127.0.0.1:35456/yy/1382736864
 欢乐饭米粒儿，笑点密集来袭,http://127.0.0.1:35456/yy/1382736798
 漫威十年老粉福利来了,http://127.0.0.1:35456/yy/1354930233
 高分动作大片-热血出击,http://127.0.0.1:35456/yy/1382736909
 老广的味道 第3季-美食纪录片,http://127.0.0.1:35456/yy/1382735565
 宫心计-港剧-古装,http://127.0.0.1:35456/yy/1354933540
 国内经典动作电影,http://127.0.0.1:35456/yy/1382851522
 小师妹rua,http://127.0.0.1:35456/yy/1382736975
 小小飞虎队,http://127.0.0.1:35456/yy/1382749888
 哈利波特全集,http://127.0.0.1:35456/yy/1382745105
 寻秦记,http://127.0.0.1:35456/yy/1354658048
 老夫少妻搞笑忘年恋,http://127.0.0.1:35456/yy/1354932391
 本山快乐营-爆笑小品,http://127.0.0.1:35456/yy/1354930948
 施公奇案2-欧阳震华,http://127.0.0.1:35456/yy/1382736824
 漫画解说,http://127.0.0.1:35456/yy/1382735568
 闲暇观看综艺,http://127.0.0.1:35456/yy/1354932379
 机械战警1-3,http://127.0.0.1:35456/yy/1382736854
 飓风营救,http://127.0.0.1:35456/yy/1382735547
